id,datetime,route_name,direction,destination,line_name,description
6404792,2026-04-14 12:59:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6443254,2026-04-14 14:14:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6449823,2026-04-14 14:28:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6487325,2026-04-14 15:56:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6527406,2026-04-14 17:20:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6531249,2026-04-14 17:27:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6568891,2026-04-14 19:05:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6595934,2026-04-14 20:22:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6601842,2026-04-14 20:37:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6619913,2026-04-14 22:00:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6635359,2026-04-14 22:56:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6637701,2026-04-14 23:10:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6649293,2026-04-15 00:15:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6657193,2026-04-15 01:02:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6658590,2026-04-15 01:10:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
6663049,2026-04-15 01:59:00+02,60,"",Croydon (arriva),60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
7115451,2026-04-16 06:41:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
7115093,2026-04-16 06:58:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
7140024,2026-04-16 07:58:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
7144891,2026-04-16 08:11:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
7186869,2026-04-16 09:39:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
7224918,2026-04-16 10:58:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
7226754,2026-04-16 11:10:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
7257386,2026-04-16 12:39:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
7359051,2026-04-16 17:00:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
7345404,2026-04-16 17:07:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
7397094,2026-04-16 18:45:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
7425763,2026-04-16 20:05:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
7428419,2026-04-16 20:17:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
7513885,2026-04-17 06:50:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7531625,2026-04-17 07:39:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7537460,2026-04-17 07:54:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7568318,2026-04-17 09:06:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7568640,2026-04-17 09:13:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7607865,2026-04-17 10:29:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7612432,2026-04-17 10:36:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7643892,2026-04-17 11:43:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7644716,2026-04-17 12:02:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7675186,2026-04-17 13:15:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7681045,2026-04-17 13:24:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7717587,2026-04-17 14:36:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7711374,2026-04-17 14:47:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7758354,2026-04-17 15:49:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7760547,2026-04-17 15:55:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7796911,2026-04-17 17:10:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7797133,2026-04-17 17:18:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7799420,2026-04-17 17:30:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7828589,2026-04-17 18:55:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7854270,2026-04-17 20:02:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7856161,2026-04-17 20:12:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7874005,2026-04-17 21:14:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7877817,2026-04-17 21:31:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7890051,2026-04-17 22:24:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7889739,2026-04-17 22:24:18+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7898086,2026-04-17 23:00:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7907776,2026-04-17 23:51:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7909468,2026-04-18 00:00:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7917231,2026-04-18 00:46:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7918816,2026-04-18 01:00:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
7924254,2026-04-18 01:46:00+02,194,"",Croydon (arriva),194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
8279834,2026-04-18 23:00:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
8292941,2026-04-18 23:51:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
8294030,2026-04-19 00:00:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
8302503,2026-04-19 00:48:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
