service_id,operator_id,operator_name,line_name,description
14737,AVLO,Arriva London,50,Croydon Town Centre - Thornton Heath - Norbury - Streatham Hill - Stockwell
14738,AVLO,Arriva London,59,Clapham Park - Brixton Hill - Brixton - Kennington Park - Lambeth North - Waterloo - Aldwych - Holborn - Bart's Hospital
14739,AVLO,Arriva London,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
14740,AVLO,Arriva London,612,"Selsdon - Riddlesdown - Purley - Woodcote Green - Wallington, County Grammar School"
14741,AVLO,Arriva London,616,Winchmore Hill - Southgate - Palmers Green - Edmonton (Cambridge) - Great Cambridge Road - Edmonton Green
14742,AVLO,Arriva London,627,Worcester Park - North Cheam - Cheam - Sutton - Carshalton - Wallington - Wallington High School
14743,AVLO,Arriva London,64,Thornton Heath Pond - West and East Croydon - Selsdon - Addington Village - New Addington
14744,AVLO,Arriva London,645,Purley - South Croydon - Croydon Town Centre - West Croydon - Waddon Post Office
14745,AVLO,Arriva London,66,Romford Station - Romford Market - North Street - Eastern Avenue - Newbury Park - Gants Hill - Redbridge - Wanstead - Leytonstone
14746,AVLO,Arriva London,663,"Thornton Heath Station - Thornton Road - Waddon -  Newman Road - Purley, Harris Academy"
14747,AVLO,Arriva London,67,Wood Green Station - West Green - Stoke Newington - Dalston Junction
14748,AVLO,Arriva London,675,St James Street Station or Selborne Walk / Vernon Road - Broadmead Road (IG8)
14749,AVLO,Arriva London,685,Warlingham School - Sanderstead - Cranleigh - Ferns - Selsdon
14750,AVLO,Arriva London,689,West Croydon - Addiscombe - Shirley - Peregrine Gardens - Monks Orchard
14751,AVLO,Arriva London,73,Oxford Circus - Tottenham Court Road - King's Cross - Islington - Stoke Newington
14752,AVLO,Arriva London,76,Tottenham Hale - Stoke Newington - Dalston - St Paul's - Waterloo
14753,AVLO,Arriva London,96,Bluewater - Darent Valley Hospital - Dartford - Crayford - Bexleyheath - Welling - Plumstead - Woolwich
14680,AVLO,Arriva London,N137,Crystal Palace - Streatham Hill - Clapham Common - Marble Arch - Oxford Circus
14754,AVLO,Arriva London,N19,Finsbury Park Station - Holborn - Piccadilly Circus - Sloane Square - Clapham Junction
14755,AVLO,Arriva London,N2,Crystal Palace - West Norwood - Brixton - Victoria - Marylebone
14702,AVLO,Arriva London,N250,Brixton - Streatham -  Thornton Heath - Norbury -  Croydon Town Centre
14704,AVLO,Arriva London,N253,Aldgate - Whitechapel - Bethnal Green - Hackney Central - Stamford Hill - Finsbury Park - Holloway - Camden Town - Euston -  - Tottenham Court Road Station
14709,AVLO,Arriva London,N279,Waltham Cross - Edmonton - Tottenham - Camden - Trafalgar Square
14756,AVLO,Arriva London,N29,Enfield - Wood Green - Finsbury Park - Camden Town - Trafalgar Square
14757,AVLO,Arriva London,N38,Walthamstow Central - Hackney - Islington - Holborn - Victoria
14758,AVLO,Arriva London,N41,Trafalgar Square - Holborn - Islington - Archway - Tottenham Hale
14759,AVLO,Arriva London,N73,Oxford Circus - Kings Cross - Stoke Newington - Tottenham - Walthamstow Central
14760,AVLO,Arriva London,SL1,North Finchley - New Southgate - Arnos Grove - Edmonton Angel Corner - Walthamstow Central
14761,AVLO,Arriva London,SL2,Walthamstow Central - South Woodford - Ilford - Gallions Reach - North Woolwich
14762,AVLO,Arriva London,SL5,Bromley North - Park Langley - Bethlem Royal Hospital - Shirley - Croydon Town Centre
14763,AVLO,Arriva London,SL6,West Croydon - Crown Point - West Norwood - express to Waterloo - Russell Square
14764,AVLO,Arriva London,W3,Northumberland Park - Wood Green - Alexandra Palace & Park - Hornsey - Finsbury Park Station
14765,AVLO,Arriva London,W4,"Oakthorpe Park - Wood Green -  Downhills Park - Bruce Grove - Tottenham Hale, Ferry Lane"
14766,AVLO,Arriva London,W6,Southgate - Palmers Green - Edmonton (Cambridge) - Haselbury Road - Edmonton Green
14108,BTRI,Blue Triangle (Go Ahead),101,Wanstead - Manor Park - East Ham - Beckton Station
14109,BTRI,Blue Triangle (Go Ahead),104,Stratford - Plashet - Upton Park - Lonsdale Avenue - East Ham - Beckton
14110,BTRI,Blue Triangle (Go Ahead),115,"East Ham, Central Park - Greengate - Canning Town - Limehouse - Aldgate"
14111,BTRI,Blue Triangle (Go Ahead),129,"Gallions Reach, Great Eastern Quay - Beckton - West Beckton - London City Airport - West Silvertown - North Greenwich - Greenwich - Lewisham, Shopping Centre"
14112,BTRI,Blue Triangle (Go Ahead),147,Ilford - East Ham - Custom House - Keir Hardie Estate - Canning Town Station
14113,BTRI,Blue Triangle (Go Ahead),15,Blackwall - Limehouse - Aldgate - Tower Hill - St Paul's Cathedral - Trafalgar Square
14114,BTRI,Blue Triangle (Go Ahead),262,"Gallions Reach, Shopping Park - Beckton - Plaistow - West Ham - Stratford"
14115,BTRI,Blue Triangle (Go Ahead),304,Custom House Station - Newham University Hospital - Lonsdale Avenue - East Ham - Manor Park
14116,BTRI,Blue Triangle (Go Ahead),325,Beckton Sainsbury's - East Ham - Forest Gate - Balaam Street - Prince Regent Station
14117,BTRI,Blue Triangle (Go Ahead),330,Wanstead Park - Upton Park - Plaistow - Canning Town - Pontoon Dock
14118,BTRI,Blue Triangle (Go Ahead),364,Ilford - Seven Kings - Becontree (Martin's Corner) - Dagenham Heathway - Dagenham East
14119,BTRI,Blue Triangle (Go Ahead),366,"Redbridge, Falmouth Gardens - Ilford - Barking - Gallions Reach - Beckton Station"
14120,BTRI,Blue Triangle (Go Ahead),368,Chadwell Heath - Mayesbrook Park - Lodge Avenue - Ripple Road - Barking Station and Harts Lane
14676,BTRI,Blue Triangle (Go Ahead),376,"Beckton Station - Cyprus - Newham University Hospital - Upton Park - East Ham, Newham Town Hall"
14121,BTRI,Blue Triangle (Go Ahead),396,King George Hospital - Newbury Park - Gants Hill - Cranbrook Road - Ilford
14122,BTRI,Blue Triangle (Go Ahead),473,North Woolwich - London City Airport - Prince Regent - Plaistow - Stratford
14123,BTRI,Blue Triangle (Go Ahead),474,"Canning Town, Barking Road - Canning Town Station - London City Airport - East Ham - Manor Park"
14124,BTRI,Blue Triangle (Go Ahead),5,Romford Market & Station - Becontree Heath - Barking - East Ham -  Canning Town
4190,BTRI,Blue Triangle (Go Ahead),608,Gallows Corner - Shenfield High School
14125,BTRI,Blue Triangle (Go Ahead),646,Noak Hill - Harold Wood - Hornchurch - Upminster - Cranham
14126,BTRI,Blue Triangle (Go Ahead),652,"Rainham, Abbey Wood Lane - Upminster Station"
14127,BTRI,Blue Triangle (Go Ahead),656,"Emerson Park School - Parkstone Avenue - Ardleigh Green -  Harold Wood - Gallows Corner, Tesco"
14128,BTRI,Blue Triangle (Go Ahead),679,"Bancroft's School - Woodford Green - Charlie Brown's Roundabout - Ilford - Goodmayes, Goodmayes Lane"
14129,BTRI,Blue Triangle (Go Ahead),686,"St Edward's School - Romford Market - Gallows Corner - Brookside School -  Harold Hill, Dagnam Park Square"
14130,BTRI,Blue Triangle (Go Ahead),687,Dagenham Park Church of England School - Barking Station
14131,BTRI,Blue Triangle (Go Ahead),69,Walthamstow - Leyton - Stratford - West Ham - Canning Town
14132,BTRI,Blue Triangle (Go Ahead),D3,Bethnal Green - Shadwell - Limehouse - Canary Wharf - Leamouth
14133,BTRI,Blue Triangle (Go Ahead),EL1,Ilford Station - Barking - Movers Lane - Thames View Estate - Barking Riverside
14134,BTRI,Blue Triangle (Go Ahead),EL2,Becontree Heath - Barking Station and Town Centre - Movers Lane - Thames View Estate - Dagenham Dock
14135,BTRI,Blue Triangle (Go Ahead),EL3,Little Heath - Goodmayes - Barking - Rippleside - Barking Riverside
