id,fleet_code,fleet_number,reg,livery_id,slug
3779101,161,161,YX60FVD,4140,tflo-yx60fvd
3780354,TE1437,,LK13BFF,4140,tflo-lk13bff
3779368,E236,,YX61DTK,4140,tflo-yx61dtk
3776837,WVL494,,LJ61NWG,4140,tflo-lj61nwg
3783789,DE1125,,LK10BYR,4140,tflo-lk10byr
3777299,T155,,LJ60AVC,4140,tflo-lj60avc
3778135,10133,10133,LX12DFJ,4140,tflo-lx12dfj
3779008,SE60,,YX60FSS,4140,tflo-yx60fss
3782925,WVL492,,LJ61NWE,4140,tflo-lj61nwe
3782221,VW1380,,LK62DPY,4140,tflo-lk62dpy
3778958,E228,,SN61DFJ,4140,tflo-sn61dfj
3781652,SE107,,YX61BWD,4140,tflo-yx61bwd
3784551,DW553,,LJ13CEA,4140,tflo-lj13cea
3781984,E239,,YX61DPK,4140,tflo-yx61dpk
3783275,SE72,,YX60FCA,4140,tflo-yx60fca
3781678,SE59,,YX60FSP,4140,tflo-yx60fsp
3777679,13066,13066,BF15KGX,4140,tflo-bf15kgx
3780134,VW1272,,LK12AHD,4140,tflo-lk12ahd
3779221,E179,,SN61BHO,4140,tflo-sn61bho
3782606,155,155,YX60FUV,4140,tflo-yx60fuv
3776914,WVN51,,BL61ADO,4140,tflo-bl61ado
3778514,WVN40,,BV10WWC,4140,tflo-bv10wwc
3779895,VW1266,,LK12AFE,4140,tflo-lk12afe
3779882,HV102,,LJ13FBY,4140,tflo-lj13fby
3781825,WVL465,,LJ61NVA,4140,tflo-lj61nva
3781883,HV66,,LJ62BCU,4140,tflo-lj62bcu
3780108,VW1379,,LK62DPU,4140,tflo-lk62dpu
3779362,E230,,YX61DSO,4140,tflo-yx61dso
3783096,DW480,,LJ61CCF,4140,tflo-lj61ccf
3783007,E183,,SN61BHW,4140,tflo-sn61bhw
3785291,EH34,,YX13BKG,4140,tflo-yx13bkg
3779697,TEH1455,,LK13BGY,4140,tflo-lk13bgy
3777531,T142,,LJ10HTU,4140,tflo-lj10htu
3782125,DEM1357,,LK62DHP,4140,tflo-lk62dhp
3779853,WVN33,,BV10WVF,4140,tflo-bv10wvf
3783959,DE1161,,LK11CWT,4140,tflo-lk11cwt
3777323,T183,,LJ60AUM,4140,tflo-lj60aum
3781818,SE58,,YX60FSO,4140,tflo-yx60fso
3780650,T321,,LK65EKZ,4140,tflo-lk65ekz
3777798,10192,10192,SN63NBO,4140,tflo-sn63nbo
3777565,12262,12262,SN14TVX,4140,tflo-sn14tvx
3781629,36573,36573,LX13CZR,4140,tflo-lx13czr
3780428,TE1440,,LK13BFM,4140,tflo-lk13bfm
3779233,WVL460,,LJ61NUU,4140,tflo-lj61nuu
3783181,WVL338,,LX59DDV,4140,tflo-lx59ddv
3780522,DE1321,,LK12AWZ,4140,tflo-lk12awz
3781817,SE74,,YX60FCD,4140,tflo-yx60fcd
3778143,10144,10144,LX12DGF,4140,tflo-lx12dgf
3781302,E208,,SN61DCZ,4140,tflo-sn61dcz
3783180,HV179,,BJ14KSX,4140,tflo-bj14ksx
3782912,HV40,,LJ11EFL,4140,tflo-lj11efl
3782841,WVL490,,LJ61NWC,4140,tflo-lj61nwc
3778510,WVN26,,BG59FXC,4140,tflo-bg59fxc
3776875,E226,,SN61DFF,4140,tflo-sn61dff
3778800,EH36,,YX13BKK,4140,tflo-yx13bkk
3776856,SE129,,YX61BXE,4140,tflo-yx61bxe
3780523,TE1442,,LK13BFO,4140,tflo-lk13bfo
3785427,WVN2,,LK59FET,4140,tflo-lk59fet
3781896,WVN35,,BV10WVH,4140,tflo-bv10wvh
3786686,DE1320,,LK12AWY,4140,tflo-lk12awy
3780639,T292,,GN61JRO,4140,tflo-gn61jro
3777810,13079,13079,BF15KGJ,4140,tflo-bf15kgj
3778618,EH15,,SN61DBX,4140,tflo-sn61dbx
3780541,DE1328,,LK12AXV,4140,tflo-lk12axv
3782225,EHV3,,BJ15TWL,4140,tflo-bj15twl
3776239,2462,2462,SL14DEU,4140,tflo-sl14deu
3784666,WHV57,,BP15OMJ,4140,tflo-bp15omj
3782577,SE172,,YX61EKL,4140,tflo-yx61ekl
3777682,12340,12340,SN64OGO,4140,tflo-sn64ogo
3776477,2485,2485,SN64OFL,4140,tflo-sn64ofl
3784511,WVN49,,BL61ACZ,4140,tflo-bl61acz
3779370,E240,,YX61DPN,4140,tflo-yx61dpn
3788208,8329,8329,YX10EBM,4140,tflo-yx10ebm
3780420,VW1288,,LK12AOY,4140,tflo-lk12aoy
3780559,T190,,LJ60ATO,4140,tflo-lj60ato
3776864,E215,,SN61DDO,4140,tflo-sn61ddo
3778542,SE105,,YX61BWB,4140,tflo-yx61bwb
3780114,VW1382,,LK62DRZ,4140,tflo-lk62drz
3784726,T297,,KX61LDN,4140,tflo-kx61ldn
3784760,DE1155,,LK11CWL,4140,tflo-lk11cwl
3777294,T274,,LJ61LHU,4140,tflo-lj61lhu
3783700,178,178,YX61ENW,4140,tflo-yx61enw
3783332,DE1332,,LK12AYG,4140,tflo-lk12ayg
3783252,SE108,,YX61BWE,4140,tflo-yx61bwe
3776474,2413,2413,SN61DGV,4140,tflo-sn61dgv
3783420,10116,10116,LX12DDF,4140,tflo-lx12ddf
3784273,36577,36577,LX13CZV,4140,tflo-lx13czv
3780109,TEH1467,,LK13BHV,4140,tflo-lk13bhv
3776407,2423,2423,SN61CYE,4140,tflo-sn61cye
3776364,2432,2432,SN61CYS,4140,tflo-sn61cys
3780978,2470,2470,SN64OEU,4140,tflo-sn64oeu
3776903,WVL509,,BF63HDE,4140,tflo-bf63hde
3776836,WVL337,,LX59DDU,4140,tflo-lx59ddu
3780432,VWH1415,,LK62DWU,4140,tflo-lk62dwu
3781633,19775,19775,LX11BFU,4140,tflo-lx11bfu
3783726,10195,10195,SN63NBZ,4140,tflo-sn63nbz
3781476,DEM1356,,LK62DHG,4140,tflo-lk62dhg
3776921,WVL340,,LX59DDZ,4140,tflo-lx59ddz
3783506,DW478,,LJ61CCD,4140,tflo-lj61ccd
3783141,E217,,SN61DDV,4140,tflo-sn61ddv
3776802,WVL366,,LX60DWV,4140,tflo-lx60dwv
3783285,TE1434,,LK13BEU,4140,tflo-lk13beu
3782608,TE1435,,LK13BEY,4140,tflo-lk13bey
3776666,8843,8843,YY64YKB,4140,tflo-yy64ykb
3775952,SDE20296,,LJ12BYX,4140,tflo-lj12byx
3783430,WVL274,,LX59CYL,4140,tflo-lx59cyl
3779363,E231,,YX61DSU,4140,tflo-yx61dsu
